Label (Grouping),Median income (dollars)
        Margin of Error,"±5,642"
"Wise County, Virginia",
    Households,
        Estimate,"52,943"
        Margin of Error,"±2,440"
    Families,
        Estimate,"61,390"
        Margin of Error,"±4,507"
    Married-couple families,
        Estimate,"74,205"
        Margin of Error,"±7,614"
    Nonfamily households,
        Estimate,"28,395"
        Margin of Error,"±2,558"
"Wythe County, Virginia",
    Households,
        Estimate,"57,745"
        Margin of Error,"±4,590"
    Families,
        Estimate,"80,084"
        Margin of Error,"±6,536"
    Married-couple families,
        Estimate,"88,250"
        Margin of Error,"±3,720"
    Nonfamily households,
        Estimate,"30,509"
        Margin of Error,"±3,870"
"York County, Virginia",
    Households,
        Estimate,"109,956"
        Margin of Error,"±4,078"
    Families,
        Estimate,"131,176"
        Margin of Error,"±4,543"
    Married-couple families,
        Estimate,"141,887"
        Margin of Error,"±5,507"
    Nonfamily households,
        Estimate,"59,538"
        Margin of Error,"±6,207"
"Alexandria city, Virginia",
    Households,
        Estimate,"119,681"
        Margin of Error,"±2,819"
    Families,
        Estimate,"159,140"
        Margin of Error,"±4,648"
    Married-couple families,
        Estimate,"198,117"
        Margin of Error,"±8,492"
    Nonfamily households,
        Estimate,"98,905"
        Margin of Error,"±4,196"
"Bristol city, Virginia",
    Households,
        Estimate,"50,404"
        Margin of Error,"±3,694"
    Families,
        Estimate,"77,602"
        Margin of Error,"±10,189"
    Married-couple families,
        Estimate,"100,000"
        Margin of Error,"±19,553"
    Nonfamily households,
        Estimate,"29,347"
        Margin of Error,"±5,924"
"Buena Vista city, Virginia",
    Households,
        Estimate,"57,833"
        Margin of Error,"±8,629"
    Families,
        Estimate,"62,339"
        Margin of Error,"±3,283"
    Married-couple families,
        Estimate,"63,963"
        Margin of Error,"±14,026"
    Nonfamily households,
        Estimate,"30,559"
        Margin of Error,"±6,478"
"Charlottesville city, Virginia",
    Households,
        Estimate,"74,824"
        Margin of Error,"±5,371"
    Families,
        Estimate,"119,149"
        Margin of Error,"±13,846"
    Married-couple families,
        Estimate,"167,135"
        Margin of Error,"±12,731"
    Nonfamily households,
        Estimate,"48,511"
        Margin of Error,"±4,846"
"Chesapeake city, Virginia",
    Households,
        Estimate,"95,373"
        Margin of Error,"±2,728"
    Families,
        Estimate,"115,841"
        Margin of Error,"±3,149"
    Married-couple families,
        Estimate,"135,735"
        Margin of Error,"±3,191"
    Nonfamily households,
        Estimate,"55,383"
        Margin of Error,"±3,557"
"Colonial Heights city, Virginia",
    Households,
        Estimate,"76,505"
        Margin of Error,"±5,526"
    Families,
        Estimate,"96,005"
        Margin of Error,"±8,321"
    Married-couple families,
        Estimate,"111,341"
        Margin of Error,"±13,280"
    Nonfamily households,
        Estimate,"46,913"
        Margin of Error,"±6,700"
"Covington city, Virginia",
    Households,
        Estimate,"41,944"
        Margin of Error,"±11,178"
    Families,
        Estimate,"54,583"
        Margin of Error,"±7,249"
    Married-couple families,
        Estimate,"62,935"
        Margin of Error,"±6,205"
    Nonfamily households,
        Estimate,"30,724"
        Margin of Error,"±4,658"
"Danville city, Virginia",
    Households,
        Estimate,"44,423"
        Margin of Error,"±3,639"
    Families,
        Estimate,"63,594"
        Margin of Error,"±3,978"
    Married-couple families,
        Estimate,"87,891"
        Margin of Error,"±6,848"
    Nonfamily households,
        Estimate,"28,695"
        Margin of Error,"±2,526"
"Emporia city, Virginia",
    Households,
        Estimate,"51,899"
        Margin of Error,"±7,831"
    Families,
        Estimate,"54,389"
        Margin of Error,"±9,873"
    Married-couple families,
        Estimate,"92,500"
        Margin of Error,"±37,173"
    Nonfamily households,
        Estimate,"33,546"
        Margin of Error,"±4,057"
"Fairfax city, Virginia",
    Households,
        Estimate,"132,348"
        Margin of Error,"±10,015"
    Families,
        Estimate,"183,193"
        Margin of Error,"±17,658"
    Married-couple families,
        Estimate,"196,574"
        Margin of Error,"±13,606"
    Nonfamily households,
        Estimate,"82,418"
        Margin of Error,"±15,733"
"Falls Church city, Virginia",
    Households,
        Estimate,"143,262"
        Margin of Error,"±15,432"
    Families,
        Estimate,"222,644"
        Margin of Error,"±17,783"
    Married-couple families,
        Estimate,"246,125"
        Margin of Error,"±32,615"
    Nonfamily households,
        Estimate,"89,432"
        Margin of Error,"±12,785"
"Franklin city, Virginia",
    Households,
        Estimate,"63,245"
        Margin of Error,"±6,558"
    Families,
        Estimate,"76,307"
        Margin of Error,"±12,928"
    Married-couple families,
        Estimate,"100,877"
        Margin of Error,"±14,606"
    Nonfamily households,
        Estimate,"40,625"
        Margin of Error,"±10,467"
"Fredericksburg city, Virginia",
    Households,
        Estimate,"86,071"
        Margin of Error,"±6,832"
    Families,
        Estimate,"133,397"
        Margin of Error,"±13,984"
    Married-couple families,
        Estimate,"167,206"
        Margin of Error,"±25,233"
    Nonfamily households,
        Estimate,"63,635"
        Margin of Error,"±5,602"
"Galax city, Virginia",
    Households,
        Estimate,"38,675"
        Margin of Error,"±8,836"
    Families,
        Estimate,"69,115"
        Margin of Error,"±28,605"
    Married-couple families,
        Estimate,"94,032"
        Margin of Error,"±14,339"
    Nonfamily households,
        Estimate,"23,576"
        Margin of Error,"±5,144"
"Hampton city, Virginia",
    Households,
        Estimate,"69,621"
        Margin of Error,"±2,291"
    Families,
        Estimate,"85,674"
        Margin of Error,"±3,786"
    Married-couple families,
        Estimate,"107,326"
        Margin of Error,"±3,516"
    Nonfamily households,
        Estimate,"46,600"
        Margin of Error,"±3,774"
"Harrisonburg city, Virginia",
    Households,
        Estimate,"62,254"
        Margin of Error,"±4,131"
    Families,
        Estimate,"85,946"
        Margin of Error,"±7,733"
    Married-couple families,
        Estimate,"109,929"
        Margin of Error,"±8,312"
    Nonfamily households,
        Estimate,"42,864"
        Margin of Error,"±5,987"
"Hopewell city, Virginia",
    Households,
        Estimate,"54,729"
        Margin of Error,"±7,645"
    Families,
        Estimate,"71,110"
        Margin of Error,"±6,735"
    Married-couple families,
        Estimate,"79,870"
        Margin of Error,"±18,269"
    Nonfamily households,
        Estimate,"35,318"
        Margin of Error,"±3,460"
"Lexington city, Virginia",
    Households,
        Estimate,"84,517"
        Margin of Error,"±16,517"
    Families,
        Estimate,"110,875"
        Margin of Error,"±32,314"
    Married-couple families,
        Estimate,"130,250"
        Margin of Error,"±25,837"
    Nonfamily households,
        Estimate,"53,832"
        Margin of Error,"±23,415"
"Lynchburg city, Virginia",
    Households,
        Estimate,"57,947"
        Margin of Error,"±3,396"
    Families,
        Estimate,"77,065"
        Margin of Error,"±6,184"
    Married-couple families,
        Estimate,"99,073"
        Margin of Error,"±5,387"
    Nonfamily households,
        Estimate,"39,638"
        Margin of Error,"±3,624"
"Manassas city, Virginia",
    Households,
        Estimate,"113,590"
        Margin of Error,"±8,224"
    Families,
        Estimate,"120,440"
        Margin of Error,"±8,734"
    Married-couple families,
        Estimate,"132,201"
        Margin of Error,"±11,264"
    Nonfamily households,
        Estimate,"74,026"
        Margin of Error,"±10,331"
"Manassas Park city, Virginia",
    Households,
        Estimate,"103,250"
        Margin of Error,"±8,996"
    Families,
        Estimate,"113,590"
        Margin of Error,"±11,658"
    Married-couple families,
        Estimate,"123,472"
        Margin of Error,"±19,979"
    Nonfamily households,
        Estimate,"79,389"
        Margin of Error,"±11,257"
"Martinsville city, Virginia",
    Households,
        Estimate,"46,727"
        Margin of Error,"±5,215"
    Families,
        Estimate,"62,706"
        Margin of Error,"±3,217"
    Married-couple families,
        Estimate,"81,615"
        Margin of Error,"±10,037"
    Nonfamily households,
        Estimate,"27,876"
        Margin of Error,"±2,983"
"Newport News city, Virginia",
    Households,
        Estimate,"69,634"
        Margin of Error,"±2,426"
    Families,
        Estimate,"85,499"
        Margin of Error,"±3,083"
    Married-couple families,
        Estimate,"110,546"
        Margin of Error,"±4,243"
    Nonfamily households,
        Estimate,"48,867"
        Margin of Error,"±2,515"
"Norfolk city, Virginia",
    Households,
        Estimate,"66,109"
        Margin of Error,"±1,785"
    Families,
        Estimate,"83,527"
        Margin of Error,"±3,350"
    Married-couple families,
        Estimate,"112,951"
        Margin of Error,"±4,467"
    Nonfamily households,
        Estimate,"48,582"
        Margin of Error,"±1,876"
"Norton city, Virginia",
    Households,
        Estimate,"41,495"
        Margin of Error,"±9,617"
    Families,
        Estimate,"53,438"
        Margin of Error,"±31,559"
    Married-couple families,
        Estimate,"75,571"
        Margin of Error,"±13,543"
    Nonfamily households,
        Estimate,"22,679"
        Margin of Error,"±19,135"
"Petersburg city, Virginia",
    Households,
        Estimate,"50,698"
        Margin of Error,"±2,886"
    Families,
        Estimate,"57,512"
        Margin of Error,"±7,678"
    Married-couple families,
        Estimate,"80,807"
        Margin of Error,"±9,204"
    Nonfamily households,
        Estimate,"45,558"
        Margin of Error,"±3,505"
"Poquoson city, Virginia",
    Households,
        Estimate,"120,972"
        Margin of Error,"±13,412"
    Families,
        Estimate,"130,721"
        Margin of Error,"±16,407"
    Married-couple families,
        Estimate,"148,750"
        Margin of Error,"±9,268"
    Nonfamily households,
        Estimate,"63,554"
        Margin of Error,"±11,961"
"Portsmouth city, Virginia",
    Households,
        Estimate,"60,491"
        Margin of Error,"±1,948"
    Families,
        Estimate,"72,698"
        Margin of Error,"±3,613"
    Married-couple families,
        Estimate,"98,492"
        Margin of Error,"±6,989"
    Nonfamily households,
        Estimate,"41,715"
        Margin of Error,"±3,409"
"Radford city, Virginia",
    Households,
        Estimate,"57,348"
        Margin of Error,"±6,243"
    Families,
        Estimate,"85,993"
        Margin of Error,"±9,861"
    Married-couple families,
        Estimate,"108,024"
        Margin of Error,"±16,492"
    Nonfamily households,
        Estimate,"33,520"
        Margin of Error,"±7,655"
"Richmond city, Virginia",
    Households,
        Estimate,"64,587"
        Margin of Error,"±1,911"
    Families,
        Estimate,"86,871"
        Margin of Error,"±3,666"
    Married-couple families,
        Estimate,"136,756"
        Margin of Error,"±6,524"
    Nonfamily households,
        Estimate,"50,201"
        Margin of Error,"±1,283"
"Roanoke city, Virginia",
    Households,
        Estimate,"55,378"
        Margin of Error,"±2,433"
    Families,
        Estimate,"71,692"
        Margin of Error,"±3,283"
    Married-couple families,
        Estimate,"96,759"
        Margin of Error,"±5,868"
    Nonfamily households,
        Estimate,"39,771"
        Margin of Error,"±4,148"
"Salem city, Virginia",
    Households,
        Estimate,"66,725"
        Margin of Error,"±6,350"
    Families,
        Estimate,"90,446"
        Margin of Error,"±6,715"
    Married-couple families,
        Estimate,"109,671"
        Margin of Error,"±5,934"
    Nonfamily households,
        Estimate,"43,795"
        Margin of Error,"±5,365"
"Staunton city, Virginia",
    Households,
        Estimate,"65,581"
        Margin of Error,"±4,919"
    Families,
        Estimate,"86,352"
        Margin of Error,"±9,839"
    Married-couple families,
        Estimate,"110,116"
        Margin of Error,"±6,070"
    Nonfamily households,
        Estimate,"45,318"
        Margin of Error,"±5,400"
"Suffolk city, Virginia",
    Households,
        Estimate,"92,666"
        Margin of Error,"±3,881"
    Families,
        Estimate,"114,116"
        Margin of Error,"±4,480"
    Married-couple families,
        Estimate,"135,641"
        Margin of Error,"±4,632"
    Nonfamily households,
        Estimate,"55,975"
        Margin of Error,"±2,891"
"Virginia Beach city, Virginia",
    Households,
        Estimate,"92,968"
        Margin of Error,"±1,774"
    Families,
        Estimate,"110,561"
        Margin of Error,"±2,775"
    Married-couple families,
        Estimate,"128,732"
        Margin of Error,"±2,948"
    Nonfamily households,
        Estimate,"60,383"
        Margin of Error,"±1,565"
"Waynesboro city, Virginia",
    Households,
        Estimate,"59,994"
        Margin of Error,"±3,755"
    Families,
        Estimate,"68,806"
        Margin of Error,"±11,975"
    Married-couple families,
        Estimate,"96,211"
        Margin of Error,"±20,048"
    Nonfamily households,
        Estimate,"39,837"
        Margin of Error,"±8,748"
"Williamsburg city, Virginia",
    Households,
        Estimate,"75,604"
        Margin of Error,"±10,916"
    Families,
        Estimate,"110,259"
        Margin of Error,"±8,795"
    Married-couple families,
        Estimate,"124,821"
        Margin of Error,"±21,539"
    Nonfamily households,
        Estimate,"37,314"
        Margin of Error,"±11,780"
"Winchester city, Virginia",
    Households,
        Estimate,"63,974"
        Margin of Error,"±2,269"
    Families,
        Estimate,"83,581"
        Margin of Error,"±5,255"
    Married-couple families,
        Estimate,"105,930"
        Margin of Error,"±9,554"
    Nonfamily households,
        Estimate,"42,513"
        Margin of Error,"±5,560"
